premium,LSTM_Prediction,GRU_Predictions,GRU_Multi_Predictions,GRU_Multi2_Predictions,GRU_Multi3_Predictions
31210.0,34469.215,32860.547,30860.128105700016,29028.468105375767,31054.08749884367
31210.0,34318.285,32858.383,30857.66882377863,29046.745290994644,30956.385937154293
31210.0,34065.863,32869.89,30859.81246125698,29024.10397785902,30933.33291387558
31210.0,33766.953,32874.58,30861.14640212059,28971.097669303417,30784.26913946867
33520.0,33452.957,32874.71,30863.026545107365,28781.88392174244,30636.62988215685
32699.0,33290.82,34384.758,33126.36188572645,29753.46496474743,32130.286833941936
33000.0,33130.44,34609.754,33215.54104745388,30052.909986019135,32871.52428609133
35710.0,32964.42,34713.39,33423.67973792553,30734.572980463505,33757.530003488064
37766.0,33047.08,36553.855,35084.806652247906,32856.510589540005,35412.72554701567
38504.0,33396.066,38844.594,36804.72577500343,34973.62844520807,37214.95101684332
36534.0,33990.418,40197.28,37916.024772167206,36186.83393698931,38189.8312304616
37334.0,34895.25,39159.227,37243.054351210594,35290.86483412981,37428.024739563465
35990.0,35914.55,39100.59,37244.77255487442,35324.61408692598,37134.870649278164
37690.0,36727.113,38274.184,36100.55321466923,34511.37127548456,35970.61474877596
40714.0,37643.934,39087.56,36670.876062750816,35420.937792003155,36297.166765868664
40556.0,38526.71,41675.727,39202.42683792114,38049.943102777004,38072.58167117834
40609.0,39318.984,42608.996,39783.9399676919,38866.39176386595,39516.80321371555
40609.0,40079.484,42744.324,39679.90630400181,38893.740296304226,39600.86344599724
42000.0,40790.51,42701.18,39820.83194124699,38954.38245564699,39653.30708402395
41001.0,41459.453,43673.098,40342.605929255486,40206.604345321655,39925.79332512617
41996.0,42057.395,43359.258,40523.96699202061,39966.50322407484,40037.342071294785
44589.0,42581.266,43845.746,40744.17976862192,40578.381349265575,40561.02639436722
45600.0,43080.402,45967.74,42381.54551821947,42569.50492221117,42241.349980294704
49640.0,43704.98,47508.906,43952.15658521652,43380.73309868574,43393.72941553593
48002.0,44409.53,50887.785,47013.248946428306,46406.40466392041,46599.91392064095
41801.0,45240.676,50746.09,47146.14898061753,46387.186034441,46835.06079649926
48510.0,46128.812,45706.426,43796.985777020454,41517.343970000744,43758.86416250467
47821.0,47063.965,48902.938,46115.4079347849,44734.611712157726,46092.17101430894
45001.0,47947.91,50088.652,46811.45059216023,45821.53197938204,46816.100172042854
47010.0,48563.266,48083.562,45159.89456629753,43778.28315758705,45366.905170977116
45189.0,49046.344,48748.59,45984.07788860798,44488.25808620453,45809.677471995354
46689.0,49261.19,47827.42,44775.9666236639,43852.289428174496,44626.37586027384
47000.0,49383.906,48551.285,45447.91051399708,44422.310355484486,45138.09314185381
48000.0,49508.496,49139.867,46013.40537446737,44751.294207155704,45682.31356686354
47001.0,49537.113,50035.133,46394.22353315354,45385.62425881624,46081.09326672555
52709.0,49494.965,49542.965,46213.71333801747,44985.365147173405,46012.60665678978
53709.0,49531.03,53601.723,49950.94903302193,48880.244655966766,49379.24283885956
55001.0,49802.85,55830.63,52148.69071364403,50644.614750504494,51497.33233046532
57010.0,50261.95,57178.805,52976.02499091625,51649.56078350544,53012.0853099823
58801.0,51049.145,58951.223,55092.24806320667,53261.74085128307,54753.99249911308
57599.0,52250.07,60769.285,56820.832312107086,54841.994169831276,56334.49833321571
57898.0,53686.02,60202.22,56739.01727247238,52844.00327169895,56647.25531578064
60761.0,55368.96,60119.457,56489.81735706329,53126.30468261242,56589.308485507965
63000.0,56974.266,62398.953,58574.94807934761,55427.32522499561,58025.30954885483
68501.0,58305.75,64817.832,60930.8303706646,57856.38762187958,60392.8514714241
71556.0,59982.77,69614.69,65041.32797086239,62018.65091073513,64339.01085090637
72996.0,61717.14,73027.79,68108.21721088886,64938.69686639309,67788.06591415405
68699.0,63413.35,74568.25,69668.1869430542,66104.13849210739,69667.70386981964
