premium,arima_prediction,LR_prediction,LR2_prediction,LR_lasso_prediction,LR_ridge_prediction,sarima
31210.0,32491.43056430904,47363.7473953955,55530.53495931144,55509.41412197819,55487.272544366635,36170.299626002474
31210.0,32341.02948956319,47363.7473953955,50515.409196811364,50594.0402909815,50605.54736316497,35747.66800089625
31210.0,32390.195063063915,47363.7473953955,49775.64677782808,49859.76504292125,49872.64066173081,35505.61578987881
31210.0,32442.041520777177,47363.7473953955,48992.827069063824,49130.164749878575,49162.96090095016,36167.561117933226
31210.0,32304.48927687477,47363.7473953955,49521.583105083766,49654.998750023515,49686.816712327265,35769.568616536635
33520.0,32406.65647426833,41001.915732290065,44528.17078858569,44653.53209533387,44692.02689225897,36402.23541833042
32699.0,32387.937601948197,40691.07705168231,45248.0223497209,45368.374571173,45406.39964916698,36769.8768186913
33000.0,32297.062650617907,46534.84424710814,49912.263286702524,49997.155817191364,50012.430545400726,36271.511248326264
35710.0,32414.055172117427,46286.17330262194,50246.44012383261,50329.118223063386,50344.46432476472,34811.973689813785
37766.0,32338.54901220088,46265.45072391475,49056.03445672043,49142.75964366815,49158.493482760816,34034.191546186434
38504.0,32310.94432191034,46286.17330262194,49114.40501328832,49200.67521147375,49216.2435999308,34183.92735109675
36534.0,32406.749435425983,48814.32790489836,50543.57109000809,50635.862888545314,50649.29961824041,33886.95919805883
37334.0,32302.457576456076,48731.437590069625,50821.81414666615,50912.13018960137,50925.28203964546,34532.00093115846
35990.0,32335.2547347376,47674.58607600325,49667.04164569828,49768.76899421471,49787.65900682828,35050.66328971212
37690.0,32385.495818020736,47570.973182467336,49851.28086015164,49951.751750914395,49970.58825542391,35472.76895778715
40714.0,32284.638170631944,47446.63771022423,53245.04075078267,53321.558530596056,53334.885279356604,36001.17071508975
40556.0,32359.0410050604,47633.140918588884,50806.65231125605,50901.058543503714,50918.37906944011,35390.18086130787
40609.0,32355.87220171768,47757.47639083199,63626.007724871364,63741.174476491506,63765.823154152065,36205.64616811262
40609.0,32285.23494754728,47757.47639083199,63375.96804094431,63492.98945623491,63518.10070262976,35654.83568077362
42000.0,32373.972648716783,49373.83752999233,66770.76728744194,66864.69732495127,66880.52933042165,35331.086745322704
41001.0,32325.709489538378,49000.83111326302,65921.4505555856,66022.0768573927,66040.51447449386,35021.54164961456
41996.0,32299.9550133288,49332.39237257796,65851.23549967654,65962.45558798462,65984.16543594899,35729.74368650261
44589.0,32376.00450876004,49353.11495128514,65866.88115806419,65977.9631685708,65999.58660616136,35334.28689809717
45600.0,32302.363810962546,49415.282687406696,69906.93677129978,69929.05955470624,69920.07860316797,35918.40932900219
49640.0,32321.707653341702,49270.224636456405,68569.136297561,68601.33637096696,68595.23258865126,36300.15164143172
48002.0,32365.677696441096,50472.13420147307,71164.3220611298,71204.1887523208,71200.9353878331,35801.19747111964
41801.0,32290.587012456956,50409.96646535152,70967.38468429752,71008.77823346178,71006.0615980305,34341.93714957612
48510.0,32342.832400915373,49933.34715508629,70281.09948620936,70304.06642071177,70294.58133758922,33572.07395240704
47821.0,32347.159373389128,50513.57935888744,71161.9142195541,71177.73098918781,71165.00736173427,33717.01872394783
45001.0,32291.479879404884,49746.84394672164,70000.30037629242,70026.27361482297,70018.10776013348,33423.13810696416
47010.0,32357.197630924064,50389.24388664433,71118.54609250714,71135.54194779365,71123.52590730361,34071.50210317647
45189.0,32326.460033935495,51031.64382656703,70392.56582874805,70470.01698675423,70479.28430925989,34585.43308565347
46689.0,32302.6449700521,51010.92124785985,70336.94383283496,70414.82959221728,70424.25728057281,35012.24610360303
47000.0,32361.59689741525,51052.36640527421,69897.45072061123,69977.91776812874,69987.79633851215,35540.10287965222
48000.0,32309.432757945968,51073.0889839814,70815.76477835776,70889.39822574529,70897.52046611483,34926.54384744959
47001.0,32319.309770293148,50803.695460788,68794.7540846336,68903.33693806613,68923.60949870892,35746.43233697011
52709.0,32356.15203300491,50907.308354323926,69122.46490637181,69228.50683980464,69247.8858105687,35192.79655549535
53709.0,32300.132330548797,56606.017498799476,76874.89497193252,76898.88240962362,76880.91105677668,34869.08512735284
